DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
499.2624,0.3139,0.1474,2000,1.5428,12.4053,0.4532,42.9767,88.1875,52.7146,-112.1822,259.0789
499.4148,0.3161,0.1487,9.1916,1.5982,12.414,0.4738,46.3807,88.125,54.2502,-229.2954,251.8621
499.5672,0.3201,0.1482,1.7533,1.6663,12.414,0.4868,48.9862,88.25,54.3529,-4875.239,254.4409
499.7196,0.3213,0.1484,1.7009,1.6932,12.4025,0.5177,53.2404,87.4375,51.0233,206.2449,253.4809
499.872,0.3187,0.1488,1.1302,1.7267,12.4177,0.461,54.0401,85.6875,51.331,125.1383,250.5674
500.0244,0.3124,0.1486,2.3969,1.7492,12.4037,0.4817,53.4439,85.5,52.8475,115.6343,253.3619
500.1768,0.3169,0.1474,2000,1.7703,12.4057,0.4432,52.5566,83.625,52.7155,159.2012,245.6825
500.3292,0.3221,0.1487,13.8696,1.7614,12.3993,0.471,51.5144,81.875,52.1896,542.3212,242.0383
500.4816,0.3168,0.1479,2000,1.7722,12.4057,0.4833,52.6083,79.4375,51.498,-199.3823,242.1955
500.634,0.319,0.1489,2000,1.7387,12.397,0.5053,49.6061,78.8125,52.6371,-426.91,251.5144
500.7864,0.3095,0.1479,2000,1.6984,12.4207,0.5424,48.3197,77.5,53.1675,-210.4055,254.9032
500.9388,0.3128,0.1486,2000,1.657,12.3943,0.512,47.0238,77.5,53.2093,-154.7196,255.0343
501.0912,0.3179,0.1485,2000,1.6294,12.3943,0.5469,45.4437,77,53.5343,-98.3508,256.603
501.2436,0.3088,0.1482,2000,1.6278,12.4144,0.5081,44.6302,76.75,53.4257,-59.5894,256.4449
501.396,0.3199,0.148,2000,1.688,12.3915,0.5221,46.7769,75.5625,53.5467,-69.0348,252.6666
501.5484,0.3074,0.1484,2000,1.7057,12.4019,0.4535,46.8155,75.125,53.992,-61.4243,262.2789
